
> date-guide@0.1.0 update:addresses
> tsx scripts/update-addresses-from-details.ts

🌱 詳細ページから住所・緯度・経度を取得して更新します...
📊 読み込んだレストラン数: 2623件
📋 更新が必要なレストラン数: 2623件

📊 進捗: 10/2623件 (成功: 9, エラー: 0)

📊 進捗: 20/2623件 (成功: 19, エラー: 0)

📊 進捗: 30/2623件 (成功: 29, エラー: 0)

📊 進捗: 40/2623件 (成功: 39, エラー: 0)

📊 進捗: 50/2623件 (成功: 49, エラー: 0)

📊 進捗: 60/2623件 (成功: 59, エラー: 0)

📊 進捗: 70/2623件 (成功: 69, エラー: 0)

📊 進捗: 80/2623件 (成功: 79, エラー: 0)

📊 進捗: 90/2623件 (成功: 89, エラー: 0)

📊 進捗: 100/2623件 (成功: 99, エラー: 0)

📊 進捗: 110/2623件 (成功: 109, エラー: 0)

📊 進捗: 120/2623件 (成功: 119, エラー: 0)

📊 進捗: 130/2623件 (成功: 129, エラー: 0)

📊 進捗: 140/2623件 (成功: 139, エラー: 0)

📊 進捗: 150/2623件 (成功: 149, エラー: 0)

📊 進捗: 160/2623件 (成功: 159, エラー: 0)

📊 進捗: 170/2623件 (成功: 169, エラー: 0)

📊 進捗: 180/2623件 (成功: 179, エラー: 0)

📊 進捗: 190/2623件 (成功: 189, エラー: 0)

📊 進捗: 200/2623件 (成功: 199, エラー: 0)

📊 進捗: 210/2623件 (成功: 209, エラー: 0)

📊 進捗: 220/2623件 (成功: 219, エラー: 0)

📊 進捗: 230/2623件 (成功: 229, エラー: 0)

📊 進捗: 240/2623件 (成功: 239, エラー: 0)

📊 進捗: 250/2623件 (成功: 249, エラー: 0)

📊 進捗: 260/2623件 (成功: 259, エラー: 0)

📊 進捗: 270/2623件 (成功: 269, エラー: 0)

📊 進捗: 280/2623件 (成功: 279, エラー: 0)

📊 進捗: 290/2623件 (成功: 289, エラー: 0)

📊 進捗: 300/2623件 (成功: 299, エラー: 0)

📊 進捗: 310/2623件 (成功: 309, エラー: 0)

